villeLabel;population;latitude;longitude
Gassin;2655;43.228611111;6.585277777
Vailhauquès;2647;43.672222222;3.717777777
Caux;2640;43.507222222;3.368888888
Bras;2632;43.471944444;5.953611111
Charleval;2628;43.718611111;5.245555555
Seillons-Source-d'Argens;2617;43.496388888;5.883611111
Le Thoronet;2613;43.451944444;6.303888888
Figanières;2610;43.568611111;6.497222222
Palaja;2594;43.172777777;2.385277777
Boisset-et-Gaujac;2591;44.049444444;4.019722222
Bagard;2577;44.073055555;4.050833333
Conques-sur-Orbiel;2575;43.27;2.401666666
Meynes;2572;43.8825;4.561111111
Calenzana;2566;42.508055555;8.855277777
L'Escarène;2563;43.834444444;7.356666666
Corneilla-del-Vercol;2561;42.624166666;2.951388888
Ventiseri;2556;41.9175;9.383611111
Ouveillan;2554;43.288611111;2.971388888
Cers;2535;43.323055555;3.304722222
Solliès-Ville;2529;43.182222222;6.038333333
Le Cailar;2517;43.675833333;4.236111111
Collioure;2517;42.525555555;3.080833333
La Calmette;2516;43.923888888;4.264166666
Saint-Étienne-du-Grès;2486;43.780555555;4.725277777
Régusse;2483;43.655277777;6.131944444
Saint-Jean-du-Gard;2480;44.104722222;3.886111111
Codognan;2458;43.731666666;4.219722222
Les Salles-du-Gardon;2455;44.206944444;4.034722222
Lamalou-les-Bains;2454;43.5975;3.079722222
Évenos;2407;43.17;5.83
Belgentier;2399;43.245277777;5.999722222
Maussane-les-Alpilles;2396;43.721666666;4.803888888
Saint-Julien;2394;43.693888888;5.915277777
Opio;2393;43.668333333;6.981666666
Saint-Pargoire;2378;43.527777777;3.518888888
Maureilhan;2376;43.357222222;3.12
Cessenon-sur-Orb;2373;43.45;3.051388888
Châteauneuf-le-Rouge;2357;43.489722222;5.569722222
Le Tholonet;2355;43.521666666;5.511111111
Aubord;2339;43.756944444;4.312222222
Plan-d'Aups-Sainte-Baume;2333;43.33;5.7175
Bezouce;2328;43.881388888;4.49
Aups;2317;43.628333333;6.224722222
Restinclières;2302;43.723611111;4.038888888
Aspremont;2300;43.783333333;7.244166666
Peille;2287;43.8025;7.401666666
Bassan;2287;43.411111111;3.253611111
Langlade;2265;43.8057;4.24621
Remoulins;2260;43.939444444;4.563888888
Roujan;2260;43.504722222;3.310555555
Saint-Jean-Pla-de-Corts;2258;42.511111111;2.792222222
Trouillas;2257;42.611388888;2.808333333
Méounes-lès-Montrieux;2243;43.281111111;5.97
Laroque-des-Albères;2219;42.523055555;2.931944444
Beaulieu;2213;43.728055555;4.021388888
Aléria;2211;42.114166666;9.513055555
Breil-sur-Roya;2206;43.937222222;7.514444444
Saint-Victor-la-Coste;2205;44.061944444;4.642222222
Cadolive;2202;43.395277777;5.548333333
Paradou;2200;43.721111111;4.788055555
Loupian;2195;43.45;3.613888888
La Roquebrussanne;2192;43.340277777;5.976388888
Èze;2189;43.727777777;7.361111111
Cervione;2172;42.331666666;9.491666666
Théza;2171;42.638055555;2.952777777
Entre-Vignes;2160;43.728611111;4.080555555
