itemLabel;population;latitude;longitude
Q16267152;11180;13.8023;100.3208
Q72922645;11139;13.8283;100.1041
Q13025304;11121;;
Q15978535;11108;9.267389;99.192177
Q21408195;11092;15.2762;104.8002
Q28737753;11092;14.373888888;100.485277777
Q28737753;11092;14.424667689;100.475805661
Q107231055;11090;18.1865;103.7408
Q15206494;11085;7.109115;100.475203
Q15980680;11073;12.452466;102.22667
Q108764813;11069;15.9089;104.0647
Q13025381;11032;13.44581;101.18445
Fao rai;10978;18.017548;103.305749
Q15253733;10953;15.02248892;103.042026515
Q15198896;10951;9.055201;99.83982
Q110453502;10939;19.9223;100.3057
Q15978637;10901;8.6139;99.3259
Q112133936;10886;17.4798;102.2902
Q13025341;10864;14.749;104.3574
Q13025382;10842;15.2482;105.2296
Q72922645;10837;13.8283;100.1041
Q15980680;10835;12.452466;102.22667
Q15272683;10831;19.179926976;100.908881713
Q16000036;10828;14.065573543;100.522617152
Q13023514;10818;8.471748268;99.856773968
Q13025344;10804;19.730602476;100.117965197
Q15890145;10785;14.727184175;102.233320267
Q15980709;10782;14.31212879;100.374314667
Q13025232;10767;13.8369;100.35906
Q15814018;10763;9.102;99.4863
Q28854803;10747;13.35146;102.183292
Q21408231;10726;16.7081;103.0811
Q111340098;10716;13.882028877;100.287924087
Q15980709;10711;14.31212879;100.374314667
Q97291166;10696;14.6013;100.2602
Q94999538;10693;12.240313;99.868837
Q101233008;10668;16.3873;104.6955
Q25139672;10637;16.578817;102.110654
Q13023551;10635;14.1359;100.8899
Q63965432;10630;13.70654;99.890179
Q99168499;10622;13.6306;99.6043
Q41624864;10614;13.648598;100.006285
Q101425813;10564;15.2482;104.8968
Q41624864;10561;13.648598;100.006285
Q18983379;10558;20.029618055;99.284725
Q13023514;10554;8.471748268;99.856773968
Q108764563;10501;16.1896;104.5168
Q101223460;10500;19.5342;98.9621
Q107213744;10497;18.0209;103.8186
Q63965432;10480;13.70654;99.890179
Q28736781;10457;;
Q28735879;10450;15.6;100.649444444
Trat;10413;12.24188871;102.51492855
Phang Nga;10412;8.464444444;98.531666666
Q15380573;10404;14.609184478;103.081765437
Q15995307;10397;12.82877;101.20507
Q15273747;10359;19.6104;99.8451
Q28729532;10357;18.024955391;103.706020454
Q110089087;10337;16.26036;103.6465
Q28727267;10259;17.4262;102.5646
Q112155675;10249;10.4697;99.2137
Q15199032;10245;8.338841498;99.851273143
Q110821920;10245;14.2128;100.4976
Q28735554;10219;13.961111111;99.641111111
Q37423392;10214;17.405729;103.299191
Phra Pradaeng;10190;13.659;100.5329
Q15980679;10185;12.619648;102.011187
Q21408231;10169;16.7081;103.0811
Q37423392;10168;17.405729;103.299191
Q16000036;10164;14.065573543;100.522617152
Q13025234;10143;18.579125442;99.068639219
Q13025225;10135;8.356809;99.905188
Q15147902;10132;17.27444444;102.87527778
Q28732029;10089;14.6867;102.5325
Q15814006;10075;9.1309;99.4467
Q13025236;10063;14.960195673;104.165653496
Q15244029;10061;14.896466053;101.816735431
Q15911858;9995;16.674210788;102.146975352
Q15911858;9983;16.674210788;102.146975352
Q27943198;9958;16.799669;102.773442
Q28736770;9942;16.333343411;103.578201061
Q28737739;9905;14.462638888;100.36675
Q15978542;9904;8.635833333;99.366666666
Q15978542;9904;8.636381114;99.368293152
Q101229296;9875;19.3412;98.9604
Q13025239;9864;;
Q97228886;9856;17.706236;101.719825
Q13025260;9853;15.031429836;102.03228987
Q15980679;9843;12.619648;102.011187
Q15982811;9835;9.7571;98.5915
Q15966556;9828;15.178764562;102.25142485
Q15966556;9828;15.1788;102.2514
Q28727283;9816;17.270222242;102.598508847
Q27943198;9792;16.799669;102.773442
Q13025193;9777;18.418;98.6758
Q107145856;9777;17.9684;104.0484
Q15303427;9754;17.85352;102.801689
Q15966556;9730;15.178764562;102.25142485
Q15966556;9730;15.1788;102.2514
Q28726657;9721;19.293888888;100.861666666
Q28726657;9721;19.292986936;100.873948929
Q18983379;9699;20.029618055;99.284725
Q15814020;9695;9.083;99.5282
Q28735724;9676;16.16;100.596666666
Q15244222;9662;14.931256468;102.051686406
Q15215166;9643;14.042981544;100.429090907
Q13025203;9610;14.842191719;102.194339285
Q110419750;9606;20.2567;100.4033
Q71861789;9590;18.91625;98.960527777
Q15978542;9587;8.635833333;99.366666666
Q15978542;9587;8.636381114;99.368293152
Q108764797;9576;15.7659;104.1917
Q13025414;9575;13.6918;99.8531
Q71861789;9567;18.91625;98.960527777
Q42171638;9519;13.843893;100.068634
Q15198974;9512;;
Q107671241;9504;17.4869;103.2011
Q15814009;9492;9.1653;99.4706
Q99209274;9490;8.751254;98.802942
Ban Krot;9471;14.312057;100.600539
Q15904519;9434;13.924111111;100.468388888
Q56118436;9407;18.230363;99.3915
Q110218419;9358;16.7634;104.1677
Q15980674;9357;13.7268;101.2105
Q97309678;9355;17.8963;102.6013
Q19698463;9334;19.0625;98.9396
Q16559846;9334;17.9286;102.7901
Q56118436;9327;18.230363;99.3915
Q13025298;9320;15.639456392;103.709340689
Q15889803;9318;20.438;99.9124
Q15980674;9311;13.7268;101.2105
Q15980673;9300;14.4921;100.4448
Q19943614;9290;;
Q42171638;9281;13.843893;100.068634
Q28732623;9278;17.1011;100.8296
Q28771796;9276;15.854805555;102.471694444
Q111297119;9275;17.856;98.9269
Q13025192;9265;15.353764351;102.746853345
Q15198866;9263;9.1792;99.8569
Q13025198;9261;16.375603792;103.828997949
Q28736761;9213;16.65;103.3
Q28732576;9210;12.905833333;102.262222222
Q28732576;9210;12.905688877;102.266330237
Q15310428;9209;15.96533;105.2112
Q112133916;9205;17.4974;102.3249
Q15303460;9201;15.039;102.1952
Q28732550;9183;15.6078;103.8
Q19698463;9174;19.0625;98.9396
Q21278778;9170;16.329806519;102.799798229
Q28771905;9133;16.09388889;102.74416667
Q107672585;9105;17.7729;102.2122
Q108764794;9087;15.8214;104.1474
Q21278778;9075;16.329806519;102.799798229
Q37788902;9070;17.589841111;103.985898888
Q19943614;9065;;
Q13025213;9059;;
Q28771792;9027;16.175472;102.702944
Q26206148;9023;16.6775;102.2914
Q15980673;9018;14.4921;100.4448
Q37788902;9013;17.589841111;103.985898888
Q15260331;9012;16.108344148;102.257614002
Q15260331;9012;16.108611111;102.258055555
Q17298358;9003;15.069688117;101.118191223
Q28727689;8984;16.24298958;103.062682731
Q102716896;8971;16.2955;99.8089
Q7049350;8950;14.750945236;102.318680659
Q28727763;8931;15.457037574;99.895945813
Q42171411;8925;16.679508;102.716103
Q28731273;8916;12.0702;99.8667
Q15272670;8888;;
Q107213752;8883;17.8773;103.9423
Q13025258;8860;10.504364237;98.985287348
Q28732570;8842;12.481666666;102.073611111
Q13025197;8837;15.852688211;103.622110891
Q13025284;8837;15.261566616;101.791213106
Q108731664;8835;13.6458;100.3123
Q28732145;8832;12.5728;102.5367
Q42171411;8832;16.679508;102.716103
Q13025358;8815;8.8658;98.3413
Q13025197;8774;15.852688211;103.622110891
Q108764512;8762;16.0899;104.4105
Q15980673;8758;14.4921;100.4448
Q15980700;8756;16.027777777;100.379166666
Q104716998;8752;18.3479;103.3981
Q28727294;8742;17.769403409;102.143504855
Q28727294;8742;17.770277777;102.189444444
Phimai;8696;15.222863041;102.493992086
Q108764595;8673;16.2557;104.5097
Q43254491;8667;17.115071;103.018576
Q28736750;8666;16.399722222;103.367777777
Q28727197;8645;18.517690987;98.939359573
Q28727197;8645;18.526111111;98.939444444
Q110739323;8631;16.6536;99.577
Q111284819;8624;18.893473244;100.287910974
Q13025210;8623;8.237874637;100.008237963
Q95587337;8607;13.922914;101.03127
Q95587337;8597;13.922914;101.03127
Q41776289;8581;17.110388888;102.583
Q16559846;8575;17.9286;102.7901
Q13025308;8570;8.231936526;99.874620886
Q15982811;8569;9.7571;98.5915
Q64006375;8564;18.6171;98.9511
Q107652423;8564;17.9142;102.2403
Q15253729;8563;14.48546;103.184771
Q41776289;8556;17.110388888;102.583
Q5213803;8540;15.147224235;102.208363241
Q15995307;8519;12.82877;101.20507
Q64006375;8508;18.6171;98.9511
Q99169327;8503;18.3191;99.3256
Q13025310;8498;19.350295166;100.138402505
Q28726658;8486;17.475043869;103.456873024
Q50309145;8481;17.162915;102.574519
Q26700457;8468;12.827;101.669194444
Q42171534;8462;18.70566;99.106811
Q110768839;8454;14.3737;100.4857
Q28729607;8449;16.8699;102.564
Q15980700;8448;16.027777777;100.379166666
Q110477157;8445;12.2124;102.5116
Q13025201;8443;18.7263;100.7428
Q111296697;8433;17.7699;98.9626
Q28726670;8429;14.021944444;100.171944444
Q15244437;8426;14.636387404;101.258136079
Q15980683;8426;15.898005;100.311026
Q13025288;8421;8.02508864;100.315966831
