item,itemLabel,latitude,longitude,date
http://www.wikidata.org/entity/Q327078,Bataille d'Ouman,48.583333333,30.666666666,1941-07-15T00:00:00Z
http://www.wikidata.org/entity/Q327099,bataille de Kasserine,35.2596,8.7424,1943-02-19T00:00:00Z
http://www.wikidata.org/entity/Q155302,bataille de Loigny,48.12,1.755555555,
http://www.wikidata.org/entity/Q155103,bataille de Budapest,47.498333333,19.040833333,1944-12-29T00:00:00Z
http://www.wikidata.org/entity/Q152008,opération Michael,49.85,3.28333,1918-03-21T00:00:00Z
http://www.wikidata.org/entity/Q152295,bataille de Worringen,51.0425,6.887777777,
http://www.wikidata.org/entity/Q152158,bataille de Totopotomoy Creek,37.634,-77.2987,1864-05-28T00:00:00Z
http://www.wikidata.org/entity/Q151290,bataille de Moscou,55.752222222,37.632222222,1941-09-30T00:00:00Z
http://www.wikidata.org/entity/Q271873,bataille de la Trebbia,45.05,9.6,
http://www.wikidata.org/entity/Q269207,percée de Sedan,49.7025,4.9425,
http://www.wikidata.org/entity/Q269479,bataille de Köbölkút,47.859569304,18.51978704,
http://www.wikidata.org/entity/Q270517,raid de Dieppe,49.933333333,1.083333333,
http://www.wikidata.org/entity/Q472100,opération Châtiment,44.816667,20.466667,
http://www.wikidata.org/entity/Q473669,bataille de Lake Smolina,57.53630928,28.00460705,
http://www.wikidata.org/entity/Q472672,bataille navale d'Iquique,-20.201577,-70.155902,
http://www.wikidata.org/entity/Q473706,bataille de Kay,52.1,15.53333333,
http://www.wikidata.org/entity/Q472982,siège de Belfort,47.6379,6.86281,1870-11-03T00:00:00Z
http://www.wikidata.org/entity/Q472614,bataille de Giornico,46.3833,8.88333,
http://www.wikidata.org/entity/Q154182,bataille de Berlin,52.518611111,13.376111111,1945-04-16T00:00:00Z
http://www.wikidata.org/entity/Q154426,bataille d'Iéna,50.95,11.575,1806-10-14T00:00:00Z
http://www.wikidata.org/entity/Q193993,bataille de Pea Ridge,36.454388888,-94.034694444,1862-03-07T00:00:00Z
http://www.wikidata.org/entity/Q192938,bataille du Granique,40.228055555,27.242222222,
http://www.wikidata.org/entity/Q384413,bataille de la rivière Bilin,17.182429,97.246706,
http://www.wikidata.org/entity/Q383614,bataille de Kohima,25.668,94.103,1944-04-04T00:00:00Z
http://www.wikidata.org/entity/Q384091,bataille de Moukden,41.78333333,123.43333333,1905-02-19T00:00:00Z
http://www.wikidata.org/entity/Q383067,bataille de Saragarhi,33.55,70.93333333,
http://www.wikidata.org/entity/Q383614,bataille de Kohima,25.667645,94.103175,1944-04-04T00:00:00Z
http://www.wikidata.org/entity/Q373401,bataille du cap Saint-Vincent,37.025,-8.994444444,
http://www.wikidata.org/entity/Q373655,prise de Gaza de juin 2007,31.516667,34.45,2007-06-10T00:00:00Z
http://www.wikidata.org/entity/Q371476,opération Scorch Sword,33.208333,44.525,
http://www.wikidata.org/entity/Q371620,soulèvement de Benghazi,32.116666666,20.066666666,2011-02-15T00:00:00Z
http://www.wikidata.org/entity/Q371409,bataille de Stångebro,58.413611,15.634167,
http://www.wikidata.org/entity/Q487332,bataille de l'île Hansan,34.762222222,128.5025,1592-07-08T00:00:00Z
http://www.wikidata.org/entity/Q486979,bataille de Chungju,36.966666666,127.95,
http://www.wikidata.org/entity/Q487076,bataille de Xuân Lộc,10.923333333,107.239166666,1975-04-09T00:00:00Z
http://www.wikidata.org/entity/Q486531,bataille d'Unsan,39.9722,125.803,1950-10-25T00:00:00Z
http://www.wikidata.org/entity/Q504347,bataille de la mer des Philippines,20.0,130.0,1944-06-19T00:00:00Z
http://www.wikidata.org/entity/Q504172,bataille du Guadalete,36.6,-6.21667,
http://www.wikidata.org/entity/Q195118,bataille d'Old Church,37.6444,-77.2209,
http://www.wikidata.org/entity/Q199371,bataille de Megiddo,32.4,34.883,1918-09-19T00:00:00Z
http://www.wikidata.org/entity/Q200032,bataille de Manzikert,39.144722222,42.539166666,
